ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
15930,Funda p/Tablet BAGS FSN10TB-N Negro,BAGSFUNFSN10TBN,FSN10TB-N,Estuches,Fundas,BAGS,7.21,21.0,0.0,10,7.93,286.5,2271.94,https://elit.com.ar/producto/15930-funda-p-tablet-bags-fsn10tb-n-negro,8/1/2023 9:18:53 PM 
15966,Memoria Ram UDIMM KINGSTON KVR 16GB DDR4 3200MHz CL22 1.20V Single Negro,KINMEMKVR32N22S,KVR32N22S8/16,Memorias,Memorias PC,KINGSTON,94.81,10.5,0.0,10,104.29,286.5,29879.09,https://elit.com.ar/producto/15966-memoria-ram-udimm-kingston-kvr-16gb-ddr4-3200m-hz-cl22-1-20v-single-negro,8/1/2023 9:18:53 PM 
16005,"Monitor Philips 22"" VGA HDMI",PHIMON221V8/77,221V8/77,Imagen,Monitores,PHILIPS,183.95,21.0,0.0,10,202.35,286.5,57973.28,https://elit.com.ar/producto/16005-monitor-philips-22-vga-hdmi,8/1/2023 9:18:53 PM 
16018,Memoria Ram UDIMM KINGSTON KVR 8GB DDR4 3200MHz CL22 1.20V Single Negro,KINMEMKVR32N228,KVR32N22S8/8,Memorias,Memorias PC,KINGSTON,46.98,10.5,0.0,10,51.68,286.5,14806.32,https://elit.com.ar/producto/16018-memoria-ram-udimm-kingston-kvr-8gb-ddr4-3200m-hz-cl22-1-20v-single-negro,8/1/2023 9:18:53 PM 
16023,Disco Interno SSD CRUCIAL P3 500GB M.2 NVMe PCIe 3.0  3500MB/s,CRUSSDP3500,CT500P3SSD8,Almacenamiento,Discos Internos SSD,CRUCIAL,85.92,10.5,0.0,10,94.51,286.5,27077.12,https://elit.com.ar/producto/16023-disco-interno-ssd-crucial-p3-500gb-m-2-nv-me-pc-ie-3-0-3500mb-s,8/1/2023 9:18:53 PM 
16042,Motherboard MSI PRO H610M-B LGA1700 DDR4,MSIMOTH610MbD4,MSI-PRO-H610M-B-DDR4,Hardware,Motherboards,MSI,182.62,10.5,0.0,10,200.88,286.5,57552.12,https://elit.com.ar/producto/16042-motherboard-msi-pro-h610m-b-lga1700-ddr4,8/1/2023 9:18:53 PM 
16053,Motherboard GIGABYTE X570S AORUS ELITE AM4 DDR4,GIGMOTX570SAELI,X570S AORUS ELITE,Hardware,Motherboards,GIGABYTE,474.98,10.5,0.0,10,522.48,286.5,149690.52,https://elit.com.ar/producto/16053-motherboard-gigabyte-x570s-aorus-elite-am4-ddr4,8/1/2023 9:18:53 PM 
16057,Funda p/Disco Externo BAGS FNGPS/CAM-S Striples Estampado,BAGFUNFNCAMS,FNGPS/CAM-S,Estuches,Fundas,BAGS,19.63,21.0,0.0,10,21.59,286.5,6185.54,https://elit.com.ar/producto/16057-funda-p-disco-externo-bags-fngps-cam-s-striples-estampado,8/1/2023 9:18:53 PM 
16058,Funda p/Disco Externo BAGS FNGPS/CAM-LP Love Paris Estampado,BAGFUNFNCAMLP,FNGPS/CAM-LP,Estuches,Fundas,BAGS,19.63,21.0,0.0,10,21.59,286.5,6185.54,https://elit.com.ar/producto/16058-funda-p-disco-externo-bags-fngps-cam-lp-love-paris-estampado,8/1/2023 9:18:53 PM 
16076,Fuente THERMALTAKE TOUGHPOWER GF1 850W 80 Plus Gold ATX Modular,THEFUEGF1850W,TTP-850AH3FCG,Hardware,Fuentes,THERMALTAKE,173.38,21.0,0.0,10,190.72,286.5,54641.28,https://elit.com.ar/producto/16076-fuente-thermaltake-toughpower-gf1-850w-80-plus-gold-atx-modular,8/1/2023 9:18:53 PM 
16077,Fuente THERMALTAKE TOUGHPOWER GF1 750W 80 Plus Gold ATX Modular,THEFUEGF1750W,TTP-750AH3FCG,Hardware,Fuentes,THERMALTAKE,142.65,21.0,0.0,10,156.92,286.5,44957.58,https://elit.com.ar/producto/16077-fuente-thermaltake-toughpower-gf1-750w-80-plus-gold-atx-modular,8/1/2023 9:18:53 PM 
16078,Fuente THERMALTAKE TOUGHPOWER GF1 650W 80 Plus Gold ATX Modular,THEFUEGF1650W,TTP-650AH3FCG,Hardware,Fuentes,THERMALTAKE,131.81,21.0,0.0,10,144.99,286.5,41539.64,https://elit.com.ar/producto/16078-fuente-thermaltake-toughpower-gf1-650w-80-plus-gold-atx-modular,8/1/2023 9:18:53 PM 
16089,Tóner PANTUM TL-411X Negro,PANTONTL411X,TL-411X,Insumos,Toners,PANTUM,103.48,21.0,0.0,10,113.83,286.5,32612.3,https://elit.com.ar/producto/16089-toner-pantum-tl-411x-negro,8/1/2023 9:18:53 PM 
16152,PC LENOVO ThinkCentre Neo 50s Intel Core i7-12700 8GB DDR4-3200MHz 256GB SSD Free DOS,LENPC11SYS0LQ00,11SYS0LQ00,Computadoras,PC de Escritorio,LENOVO,1539.12,10.5,0.0,10,1693.03,286.5,485053.1,https://elit.com.ar/producto/16152-pc-lenovo-think-centre-neo-50s-intel-core-i7-12700-8gb-ddr4-3200m-hz-256gb-ssd-free-dos,8/1/2023 9:18:53 PM 
16153,"AIO LENOVO ThinkCentre Neo 30a Intel Core i5-1240P 23.8"" 1x8GB 256GB Free DOS",LENAIO12B2A01CA,12B2A01CAC,Computadoras,All In One,LENOVO,1452.48,10.5,0.0,10,1597.73,286.5,457749.65,https://elit.com.ar/producto/16153-aio-lenovo-think-centre-neo-30a-intel-core-i5-1240p-23-8-1x8gb-256gb-free-dos,8/1/2023 9:18:53 PM 
16155,"AIO LENOVO ThinkCentre Neo 30a Intel Core i7-1260P 23.8"" 1x8GB 512GB Free DOS",LENAIO12B2A01DA,12B2A01DAC,Computadoras,All In One,LENOVO,1570.18,10.5,0.0,10,1727.2,286.5,494842.8,https://elit.com.ar/producto/16155-aio-lenovo-think-centre-neo-30a-intel-core-i7-1260p-23-8-1x8gb-512gb-free-dos,8/1/2023 9:18:53 PM 
16156,"Monitor Philips 24"" FULL HD VGA HDMI",PHIMON24V8L/77,241V8L/77,Imagen,Monitores,PHILIPS,196.6,21.0,0.0,10,216.26,286.5,61958.49,https://elit.com.ar/producto/16156-monitor-philips-24-full-hd-vga-hdmi,8/1/2023 9:18:53 PM 
16172,Camara Wifi Ezviz BM1 Bear Celeste Bateria,EZVCAM-BM1BE,"CS-BM1 (1080P,Be)",Seguridad,Camaras Wifi,EZVIZ,118.25,21.0,0.0,10,130.08,286.5,37267.92,https://elit.com.ar/producto/16172-camara-wifi-ezviz-bm1-bear-celeste-bateria,8/1/2023 9:18:53 PM 
16173,Camara Wifi Ezviz BM1 Rabbit Rosa Bateria,EZVCAM-BM1RA,"CS-BM1 (1080P,Ra)",Seguridad,Camaras Wifi,EZVIZ,118.25,21.0,0.0,10,130.08,286.5,37267.92,https://elit.com.ar/producto/16173-camara-wifi-ezviz-bm1-rabbit-rosa-bateria,8/1/2023 9:18:53 PM 
16221,Mouse c/cable XTECH Swarm Negro,XTEMOUXTM-910,XTM-910,Perifericos,Mouses,XTECH,19.0,10.5,0.0,10,20.9,286.5,5987.85,https://elit.com.ar/producto/16221-mouse-c-cable-xtech-swarm-negro,8/1/2023 9:18:53 PM 
16273,"Notebook Lenovo E41 14"" I3-1005G1 8GB 500GB W10P",LENNOT82HW002MA,82HW002MAR,Computadoras,Notebooks Corporativo,LENOVO,1022.72,10.5,0.0,10,1124.99,286.5,322309.64,https://elit.com.ar/producto/16273-notebook-lenovo-e41-14-i3-1005g1-8gb-500gb-w10p,8/1/2023 9:18:53 PM 
16281,"Disco Interno SSD CRUCIAL BX500 500GB 2.5"" SATA 3.0  550MB/s",CRUSSDBX500/500,CT500BX500SSD1,Almacenamiento,Discos Internos SSD,CRUCIAL,69.12,10.5,0.0,10,76.03,286.5,21782.6,https://elit.com.ar/producto/16281-disco-interno-ssd-crucial-bx500-500gb-2-5-sata-3-0-550mb-s,8/1/2023 9:18:53 PM 
16284,Gabinete COOLER MASTER Cosmos C700M Blanco Full Tower ARGB S/Fuente,CM-GABCOSC700MW,MCC-C700M-WG5N-S00,Hardware,Gabinetes,COOLER MASTER,775.81,10.5,0.0,10,853.39,286.5,244496.24,https://elit.com.ar/producto/16284-gabinete-cooler-master-cosmos-c700m-blanco-full-tower-argb-s-fuente,8/1/2023 9:18:53 PM 
16447,Monitor HP OMEN 25i FHD Gaming,HP-MON22J05AA,22J05AA,Imagen,Monitores,HP,335.14,21.0,23.46,10,368.65,286.5,105618.23,https://elit.com.ar/producto/16447-monitor-hp-omen-25i-fhd-gaming,8/1/2023 9:18:53 PM 
16448,Monitor HP M22f FHD,HP-MON2D9J9AA,2D9J9AA,Imagen,Monitores,HP,191.55,21.0,23.46,10,210.71,286.5,60368.42,https://elit.com.ar/producto/16448-monitor-hp-m22f-fhd,8/1/2023 9:18:53 PM 
