Código,Descripción,Final USD,Final Esp USD,PROMO final USD,Categoría,Sub Categoría,Marca,Tipo de IVA
100-100000061,CPU AMD RYZEN 9 5900X AM4 (SIN COOLER)                          *PROMO EN KIT O PC,956.89,928.2,884.0,HARDWARE,MICROPROCESADORES,AMD,10.5
BX80701G5905,CPU INTEL CELERON G5905 3.50GHZ S1200,88.85,86.19,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8070110100,CPU INTEL CORE I3-10100 3.60GHZ 1200 ,272.28,264.12,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8070110100F,CPU INTEL CORE I3-10100F 3.60GHZ S/VIDEO S1200,141.25,137.02,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8070110105,CPU INTEL CORE I3-10105 3.70GHZ S1200,274.54,266.31,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8071512100,CPU INTEL CORE I3-12100 4.30GHZ S1700,306.47,297.27,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8070811400,CPU INTEL CORE I5-11400 2.60GHZ S1200,431.05,418.11,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8071512700,CPU INTEL CORE I7-12700 3.6GHZ S1700 (BOX) ,1008.16,977.89,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8071512900,CPU INTEL CORE I9-12900 S1700,1480.87,1436.5,,HARDWARE,MICROPROCESADORES,INTEL,10.5
80662G4400MPK,CPU INTEL PENTIUM DC G4400 3.3 GHZ S1151 (TRAY+COOLER),82.01,79.56,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX80701G6400,CPU INTEL PENTIUM GOLD G6400 4.00GHZ 1200 ,133.34,129.34,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX80701G6405,CPU INTEL PENTIUM GOLD G6405 4.10GHZ S1200 ,139.01,134.84,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX80715G7400,CPU INTEL PENTIUM GOLD G7400 S1700,159.78,154.99,,HARDWARE,MICROPROCESADORES,INTEL,10.5
MD4GSD31600BL,DDR3 4 GB 1600MHZ UDIMM PNY,37.09,35.99,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD8GSD31600BL,DDR3 8 GB 1600MHZ UDIMM PNY,49.6,46.6,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
KF432C16BB/16,DDR4 16 GB 3200MHZ FURY BEAST BLK KINGSTON,110.15,106.84,101.66,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
