Código,Descripción,Final USD,Final ESP USD,Promoción,Categoría,Sub Categoría,Marca,Tipo IVA
MD8GSD4320016-TB,DDR4 8 GB 3200MHZ PNY RETAIL 1.35V,43.28,41.98,35.36 ,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
KVR32S22S8/8,DDR4 8 GB 3200MHZ SODIMM KINGSTON,74.05,71.83,54.15 ,HARDWARE,MEMORIAS PARA NOTEBOOK,KINGSTON,10.5
KVR32S22S6/8,DDR4 8 GB 3200MHZ SODIMM KINGSTON,74.05,71.83,54.15 ,HARDWARE,MEMORIAS PARA NOTEBOOK,KINGSTON,10.5
AX4U320088G16A-SB10,DDR4 8 GB 3200MHZ XPG GAMMIX D10 BLACK,55.92,54.24,,HARDWARE,MEMORIAS PARA COMPUTADORAS,XPG,10.5
X4U320008G16A-CBK20,DDR4 8 GB 3200MHZ XPG GAMMIX D10 BLACK ADATA,55.86,54.18,,HARDWARE,MEMORIAS PARA COMPUTADORAS,XPG,10.5
HDTB510XK3AA,DISCO PORTABLE 1 TB USB 3.0 TOSHIBA CANVIO BASICS,123.09,119.4,,MEMORIAS PORTATILES,DISCOS RIGIDOS EXTERNOS,TOSHIBA,10.5
WDBUZG0010BBK,DISCO PORTABLE 1 TB USB 3.0 WD ELEMENTS,124.91,121.16,,MEMORIAS PORTATILES,DISCOS RIGIDOS EXTERNOS,WESTER DIGITAL,10.5
WDBU6Y0020BBK,DISCO PORTABLE 2 TB USB 3.0 WD ELEMENTS,161.72,156.87,,MEMORIAS PORTATILES,DISCOS RIGIDOS EXTERNOS,WESTER DIGITAL,10.5
WDBJRT0020BBK,DISCO PORTABLE 2 TB USB 3.0 WD ELEMENTS SE,161.71,156.85,,MEMORIAS PORTATILES,DISCOS RIGIDOS EXTERNOS,WESTER DIGITAL,10.5
HDTB520XK3AA,DISCO PORTABLE CANVIO BASICS 2 TB USB 3.0 TOSHIBA,158.43,153.68,,MEMORIAS PORTATILES,DISCOS RIGIDOS EXTERNOS,TOSHIBA,10.5
STKM4000400,DISCO PORTABLE EXPANSION 4 TB USB 3.0 SEAGATE,262.05,254.19,,MEMORIAS PORTATILES,DISCOS RIGIDOS EXTERNOS,SEAGATE,10.5
AHD710P-2TU31-CBK,DISCO PORTABLE HD710P 2 TB USB 3.0 ADATA,184.37,178.84,,MEMORIAS PORTATILES,DISCOS RIGIDOS EXTERNOS,A-DATA,10.5
WD10PURZ,DISCO RIGIDO 1 TB SATA III PURPLE WD,103.64,100.53,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
WD10EZEX,DISCO RIGIDO 1 TB SATA III WESTERN DIGITAL BLUE,79.8,77.42,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
ST2000DM008,DISCO RIGIDO 2 TB SATA III 256MB BARRACUDA SEAGATE,96.84,93.94,,HARDWARE,DISCOS INTERNOS,SEAGATE,10.5
WD42PURZ,DISCO RIGIDO 4 TB SATA III PURPLE WD,199.41,193.43,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
WD82PURZ,DISCO RIGIDO 8 TB SATA III PURPLE WD,394.25,382.42,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
ST8000VE000,DISCO RIGIDO 8 TB SATA III SEAGATE SKYHAWK SURVEILLANCE,386.76,375.15,,HARDWARE,DISCOS INTERNOS,SEAGATE,10.5
HDWG180XZSTA,DISCO RIGIDO 8 TB SATA III TOSHIBA N300 NAS,337.18,327.08,,HARDWARE,DISCOS INTERNOS,TOSHIBA,10.5
ASU650SS-120GT-R,"DISCO SSD 120GB SATA III 2.5"" ADATA SU650",26.73,25.92,,HARDWARE,DISCOS INTERNOS SSD,A-DATA,10.5
M280CS1031-1TB-CL,DISCO SSD 1TB M.2 NVME PNY CS1031,102.52,99.45,96.14 ,HARDWARE,DISCOS INTERNOS SSD,PNY,10.5
SNV2S-1000G.,DISCO SSD 1TB NV2 SNVS SERIE-PCIe NVME M.2 KINGSTON,135.16,131.11,124.87 ,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
SNV2S-1000G,DISCO SSD 1TB NV2 SNVS SERIE-PCIe NVME M.2 KINGSTON,135.16,131.11,124.87 ,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
SSD7CS900-1TB-RB,"DISCO SSD 1TB SATA III 2.5"" PNY CS900",96.83,93.93,88.40 ,HARDWARE,DISCOS INTERNOS SSD,GENERAL,10.5
SA400S37-240G,"DISCO SSD 240GB SATA III 2.5"" A400 KINGSTON",47.85,46.41,43.10 ,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
ASU650SS-240GT-R,"DISCO SSD 240GB SATA III 2.5"" ADATA SU650",39.87,38.68,31.33 ,HARDWARE,DISCOS INTERNOS SSD,A-DATA,10.5
SNV2S-250G,DISCO SSD 250GB NV2 SNVS SERIE-PCIe NVME M.2 KINGSTON,61.52,59.67,55.25 ,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
M280CS1031-256-CL,DISCO SSD 256GB M.2 NVME PNY CS1031,46.71,45.31,44.92 ,HARDWARE,DISCOS INTERNOS SSD,PNY,10.5
070026,DISCO SSD 256GB M.2 SATA II VI560 VERBATIM,47.85,46.41,46.01 ,HARDWARE,DISCOS INTERNOS SSD,VERBATIM,10.5
