ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
10512,Mouse c/cable GENIUS Scorpion M6-400 Negro,GENMOUSGM6-400,31040062101,Perifericos,Mouses,GENIUS,27.2,10.5,0.0,10,29.92,365.5,10935.76,https://elit.com.ar/producto/10512-mouse-c-cable-genius-scorpion-m6-400-negro,8/18/2023 3:47:36 PM 
10513,Mouse c/cable GENIUS Scorpion M8-610 Negro,GENMOUSGM8-610,31040064102,Perifericos,Mouses,GENIUS,32.38,10.5,0.0,10,35.62,365.5,13019.11,https://elit.com.ar/producto/10513-mouse-c-cable-genius-scorpion-m8-610-negro,8/18/2023 3:47:36 PM 
10605,Air Cooler COOLER MASTER Hyper 212 Turbo ARGB,CM-COOHRR-212TK,RR-212TK-18PA-R1,Hardware,Coolers,COOLER MASTER,105.76,21.0,0.0,10,116.34,365.5,42522.27,https://elit.com.ar/producto/10605-air-cooler-cooler-master-hyper-212-turbo-argb,8/18/2023 3:47:36 PM 
10640,Scanner Epson DS-870 ADF 1200dpi,EPSESCDS-870,B11B250201,Imagen,Escaner,EPSON,1346.79,10.5,0.0,10,1481.47,365.5,541477.29,https://elit.com.ar/producto/10640-scanner-epson-ds-870-adf-1200dpi,8/18/2023 3:47:36 PM 
10663,Pen Drive KINGSTON Exodia 32GB USB 3.2 Gen 1 Tipo A Negro,KINPENDTX/32GB,DTX/32GB,Almacenamiento,Pen Drive,KINGSTON,8.66,21.0,0.0,10,9.53,365.5,3483.21,https://elit.com.ar/producto/10663-pen-drive-kingston-exodia-32gb-usb-3-2-gen-1-tipo-a-negro,8/18/2023 3:47:36 PM 
10666,Pen Drive KINGSTON Exodia 64GB USB 3.2 Gen 1 Tipo A Negro,KINPENDTX/64GB,DTX/64GB,Almacenamiento,Pen Drive,KINGSTON,12.39,21.0,0.0,10,13.63,365.5,4981.77,https://elit.com.ar/producto/10666-pen-drive-kingston-exodia-64gb-usb-3-2-gen-1-tipo-a-negro,8/18/2023 3:47:36 PM 
10674,Pen Drive Sandisk Ultra Shift 3.0 USB Black 64GB,SANPENSDCZ41064,SDCZ410-064G-G46,Almacenamiento,Pen Drive,SANDISK,13.46,21.0,0.0,10,14.81,365.5,5413.06,https://elit.com.ar/producto/10674-pen-drive-sandisk-ultra-shift-3-0-usb-black-64gb,8/18/2023 3:47:36 PM 
10731,Volante LOGITECH G923 Negro,LOGVOLG923,941-000148,Perifericos,Volantes,LOGITECH,890.12,21.0,0.0,10,979.13,365.5,357872.02,https://elit.com.ar/producto/10731-volante-logitech-g923-negro,8/18/2023 3:47:36 PM 
10738,Mouse c/cable GENIUS Scorpion M8-610 Blanco,GENMOUSGM8610B,31040064103,Perifericos,Mouses,GENIUS,33.44,10.5,0.0,10,36.78,365.5,13443.09,https://elit.com.ar/producto/10738-mouse-c-cable-genius-scorpion-m8-610-blanco,8/18/2023 3:47:36 PM 
10752,Fuente GIGABYTE AORUS 750W 80 Plus Gold ATX Modular,GIGFUEGPAP750GM,GP-AP750GM,Hardware,Fuentes,GIGABYTE,194.55,21.0,0.0,10,214.01,365.5,78220.66,https://elit.com.ar/producto/10752-fuente-gigabyte-aorus-750w-80-plus-gold-atx-modular,8/18/2023 3:47:36 PM 
